,model,seed,fp_types,valid_roc_auc,test_roc_auc,valid_roc_aucs,test_roc_aucs,use_time
0,xgb,1,AvalonFP_MorganFP_AtomPairFP,0.9168540182678302,0.9166776867073211,"[0.9075180981456012, 0.9209576366125887, 0.90869553616692, 0.9302448021462106]","[0.9081028695342206, 0.9081052645961714, 0.9217531038713378, 0.9287495088275545]",832.5561852455139
1,xgb,2,AvalonFP_MorganFP_AtomPairFP,0.9116964037399575,0.9147496559789363,"[0.9078104108073215, 0.9051279914440878, 0.9121666800395839, 0.921680532668837]","[0.9048288426071702, 0.9135765550239234, 0.9135083414458507, 0.9270848848388012]",824.2073554992676
2,xgb,4,AvalonFP_MorganFP_AtomPairFP,0.9090873404782089,0.9193023897886212,"[0.8990194722363103, 0.9011136469295464, 0.9063601517161888, 0.9298560910307898]","[0.9183721790603034, 0.9086563466644767, 0.9223204883835624, 0.9278605450461421]",819.2357704639435
3,xgb,8,AvalonFP_MorganFP_AtomPairFP,0.9073986574676033,0.919934390760628,"[0.9080248930608363, 0.891526458616011, 0.9087149364660753, 0.9213283417274907]","[0.9061377223191258, 0.9164779667064651, 0.9220198167682399, 0.9351020572486816]",825.3325710296631
4,xgb,16,AvalonFP_MorganFP_AtomPairFP,0.9175847281824617,0.9106257303588977,"[0.9050598555360944, 0.9176056721373941, 0.926745565284608, 0.9209278197717504]","[0.8935018050541517, 0.9025022680189024, 0.9163269927536232, 0.9301718556089137]",827.8410263061523
5,xgb,32,AvalonFP_MorganFP_AtomPairFP,0.9047691931101636,0.9246793650200045,"[0.8878201379955559, 0.9009389862200723, 0.9119478633844843, 0.9183697848405417]","[0.9191598207617625, 0.919208436454622, 0.9252500765880362, 0.935099126275597]",820.8438427448273
6,xgb,64,AvalonFP_MorganFP_AtomPairFP,0.9195256821973301,0.9186547035999069,"[0.917960179090316, 0.9121254914991417, 0.9200901334617133, 0.9279269247381493]","[0.9103467430709858, 0.9192058060749249, 0.9249353953537937, 0.9201308698999231]",824.1831710338593
7,xgb,128,AvalonFP_MorganFP_AtomPairFP,0.9093530093929075,0.9131540884581437,"[0.9042940954372513, 0.9046065128900949, 0.9076901554818338, 0.9208212737624502]","[0.9068390172350567, 0.909550615399294, 0.9144687766410913, 0.9217579445571331]",822.5182445049286
8,xgb,256,AvalonFP_MorganFP_AtomPairFP,0.904750363216595,0.9216191653252332,"[0.8979897643966988, 0.8961273977560622, 0.9053068259248869, 0.9195774647887325]","[0.9150641025641026, 0.9134510324606171, 0.921365856262176, 0.9365956700140374]",822.8693959712982
9,xgb,512,AvalonFP_MorganFP_AtomPairFP,0.9083840370385787,0.9177525074386913,"[0.9001325725272511, 0.8987380807184833, 0.9141081138856603, 0.9205573810229202]","[0.9057395382395382, 0.9180592441266598, 0.9208850642084511, 0.9263261831801158]",822.8680589199066
,model,seed,fp_types,valid_roc_auc,test_roc_auc,valid_roc_aucs,test_roc_aucs,use_time
0,xgb,1,AvalonFP_AtomPairFP_RDkitFP_MorganFP,0.9222432316583196,0.9158090958300538,"[0.9187019208971239, 0.9279697937844902, 0.9128545318711813, 0.9294466800804828]","[0.9159822065114069, 0.905686802300955, 0.9187525837811887, 0.9228147907266643]",219.6003339290619
1,xgb,2,AvalonFP_AtomPairFP_RDkitFP_MorganFP,0.9156819029727757,0.9139097038880537,"[0.9106766871071358, 0.9111074072530799, 0.9144668217925058, 0.9264766957383813]","[0.9028271332823535, 0.9148277236979596, 0.9145685252110365, 0.9234154333608655]",218.87181878089905
2,xgb,4,AvalonFP_AtomPairFP_RDkitFP_MorganFP,0.9164042044048955,0.9245268067340832,"[0.9066884903253569, 0.916800501528535, 0.9132021229544449, 0.928925702811245]","[0.9277025527192009, 0.9145554460595111, 0.9259860309505086, 0.9298631972071121]",220.86840653419495
3,xgb,8,AvalonFP_AtomPairFP_RDkitFP_MorganFP,0.9158962204033144,0.9221628068924272,"[0.9131564876425856, 0.9009294436906378, 0.9169596952502731, 0.9325392550297611]","[0.9121010182327773, 0.9184678935594986, 0.9240001600277381, 0.9340821557496948]",216.47017407417297
4,xgb,16,AvalonFP_AtomPairFP_RDkitFP_MorganFP,0.9207324952779947,0.9169159766667261,"[0.9061093177771666, 0.9183201328216435, 0.930350645715885, 0.9281498847972837]","[0.9090731155669609, 0.9093807969886125, 0.923260336743393, 0.9259496573679382]",216.9605417251587
5,xgb,32,AvalonFP_AtomPairFP_RDkitFP_MorganFP,0.9116702024910623,0.9283539742650024,"[0.90003362179862, 0.9097868650325869, 0.9145586903239558, 0.9223016328090868]","[0.9248730395817775, 0.9233219559955398, 0.9282669792346524, 0.9369539222480399]",215.77328515052795
6,xgb,64,AvalonFP_AtomPairFP_RDkitFP_MorganFP,0.92490291958244,0.9238962939340547,"[0.9190498428512126, 0.921339369773495, 0.926341972237824, 0.9328804934672282]","[0.9212080458425914, 0.9266874414436432, 0.9256680253623188, 0.9220216630876653]",215.93016910552979
7,xgb,128,AvalonFP_AtomPairFP_RDkitFP_MorganFP,0.910733239049494,0.9168279326670599,"[0.9072710638668641, 0.9084124830393486, 0.9072638128355783, 0.9199855964561847]","[0.9111734506784012, 0.9172311802308941, 0.9160605818414321, 0.9228465179175117]",217.85847401618958
8,xgb,256,AvalonFP_AtomPairFP_RDkitFP_MorganFP,0.9104195298156557,0.925348899949226,"[0.905435935266725, 0.9020574069434004, 0.9108581506272797, 0.9233266264252179]","[0.918525641025641, 0.918706692668354, 0.9249085959808918, 0.9392546701220171]",219.08109784126282
9,xgb,512,AvalonFP_AtomPairFP_RDkitFP_MorganFP,0.9174473417132748,0.9231995646007167,"[0.9098312995208783, 0.913664901873822, 0.9218372145844188, 0.92445595087398]","[0.9146176046176047, 0.9258699353081375, 0.9273192305642884, 0.9249914879128364]",217.20133662223816
10,xgb,1,AvalonFP_MorganFP_AtomPairFP,0.9275429043232675,0.9231111906167384,"[0.9245885411156618, 0.9330249090632478, 0.9198251020571521, 0.9327330650570087]","[0.9190344284695817, 0.9152308470083486, 0.928867670396202, 0.9293118165928214]",148.1520059108734
11,xgb,2,AvalonFP_MorganFP_AtomPairFP,0.9170760679292134,0.9197021392431769,"[0.9129973719396931, 0.9105796074836452, 0.9149683061863114, 0.9297589861072036]","[0.9130006147571709, 0.9171994445361051, 0.915755397602251, 0.9328531000771805]",147.39447355270386
12,xgb,4,AvalonFP_MorganFP_AtomPairFP,0.917581640055759,0.9247091939489298,"[0.9145035117647963, 0.9107427130439683, 0.9138052350126654, 0.9312751004016064]","[0.9226045135035146, 0.918729982754373, 0.9262859389787131, 0.9312163405591188]",147.4541745185852
