,type,test_AUC_ROC
knn,threshold1,0.772401527
knn,threshold1,0.757920621
knn,threshold1,0.862449131
knn,threshold1,0.842852244
knn,threshold1,0.848614675
knn,threshold1,0.852038835
knn,threshold1,0.76784879
knn,threshold1,0.756453979
knn,threshold1,0.861025641
knn,threshold1,0.863571429
knn,threshold1,0.864376634
knn,threshold1,0.773428246
knn,threshold1,0.889393267
knn,threshold1,0.875430475
knn,threshold1,0.878677164
knn,threshold1,0.881232263
knn,threshold1,0.803674278
knn,threshold1,0.858734873
knn,threshold1,0.886036953
knn,threshold1,0.884675325
knn,threshold1,0.86519353
knn,threshold1,0.776333348
knn,threshold1,0.894853866
knn,threshold1,0.874092461
knn,threshold1,0.880902672
knn,threshold1,0.870593727
knn,threshold1,0.7970157
knn,threshold1,0.855155849
knn,threshold1,0.883374811
knn,threshold1,0.864592352
,threshold2,0.772056513
,threshold2,0.765106831
,threshold2,0.851201719
,threshold2,0.84514252
,threshold2,0.860652242
,threshold2,0.861367592
,threshold2,0.772166551
,threshold2,0.775927869
,threshold2,0.859597804
,threshold2,0.879863807
,threshold2,0.865129736
,threshold2,0.784857422
,threshold2,0.879041088
,threshold2,0.887401018
,threshold2,0.888410085
,threshold2,0.886171095
,threshold2,0.802877239
,threshold2,0.869703
,threshold2,0.886232245
,threshold2,0.89143684
,threshold2,0.866468772
,threshold2,0.787050404
,threshold2,0.878445704
,threshold2,0.88551745
,threshold2,0.890329438
,threshold2,0.874704235
,threshold2,0.804011026
,threshold2,0.868326359
,threshold2,0.885751629
,threshold2,0.878903643
,threshold3,0.788580021
,threshold3,0.783849201
,threshold3,0.864761473
,threshold3,0.856515129
,threshold3,0.881217365
,threshold3,0.862887436
,threshold3,0.798809809
,threshold3,0.781999281
,threshold3,0.855144645
,threshold3,0.887695156
,threshold3,0.872354541
,threshold3,0.797668262
,threshold3,0.885361822
,threshold3,0.88188286
,threshold3,0.899546435
,threshold3,0.894891245
,threshold3,0.802809303
,threshold3,0.856104806
,threshold3,0.887169411
,threshold3,0.890376059
,threshold3,0.87338472
,threshold3,0.798915145
,threshold3,0.886741399
,threshold3,0.881452785
,threshold3,0.897898018
,threshold3,0.877096181
,threshold3,0.810528559
,threshold3,0.858296036
,threshold3,0.886322089
,threshold3,0.872432328
,threshold4,0.787928675
,threshold4,0.815745467
,threshold4,0.861488864
,threshold4,0.848192359
,threshold4,0.88716074
,threshold4,0.870497194
,threshold4,0.800133031
,threshold4,0.80515551
,threshold4,0.878745546
,threshold4,0.892951992
,threshold4,0.880120049
,threshold4,0.813734716
,threshold4,0.888034153
,threshold4,0.898482897
,threshold4,0.901746209
,threshold4,0.909118394
,threshold4,0.825611469
,threshold4,0.870311021
,threshold4,0.921107332
,threshold4,0.886891386
,threshold4,0.880983835
,threshold4,0.810776136
,threshold4,0.893321561
,threshold4,0.898056819
,threshold4,0.90161806
,threshold4,0.89611444
,threshold4,0.827073457
,threshold4,0.876345504
,threshold4,0.917935428
,threshold4,0.875638407
