model,type,test_AUC_ROC
rf,threshold1,0.892767496
rf,threshold1,0.887364491
rf,threshold1,0.911890492
rf,threshold1,0.896879705
rf,threshold1,0.902189987
rf,threshold1,0.89993652
rf,threshold1,0.910010525
rf,threshold1,0.892317565
rf,threshold1,0.892846908
rf,threshold1,0.898095238
rf,threshold1,0.903034399
rf,threshold1,0.893350876
rf,threshold1,0.912589715
rf,threshold1,0.891389746
rf,threshold1,0.901461441
rf,threshold1,0.908883495
rf,threshold1,0.908358672
rf,threshold1,0.889856986
rf,threshold1,0.905105581
rf,threshold1,0.904051227
rf,threshold1,0.896042508
rf,threshold1,0.888534029
rf,threshold1,0.913425823
rf,threshold1,0.899570643
rf,threshold1,0.907231815
rf,threshold1,0.90699776
rf,threshold1,0.912247106
rf,threshold1,0.895592226
rf,threshold1,0.898540724
rf,threshold1,0.900779221
,threshold2,0.89575676
,threshold2,0.893602541
,threshold2,0.903989078
,threshold2,0.905708345
,threshold2,0.910819466
,threshold2,0.902509587
,threshold2,0.919029288
,threshold2,0.898203552
,threshold2,0.894191804
,threshold2,0.904494382
,threshold2,0.902192329
,threshold2,0.9073104
,threshold2,0.899533957
,threshold2,0.906902301
,threshold2,0.90470597
,threshold2,0.908091735
,threshold2,0.914392304
,threshold2,0.895862581
,threshold2,0.901048366
,threshold2,0.910272387
,threshold2,0.897027478
,threshold2,0.895121817
,threshold2,0.905631518
,threshold2,0.908377592
,threshold2,0.915209944
,threshold2,0.907887759
,threshold2,0.923479571
,threshold2,0.899314406
,threshold2,0.900446731
,threshold2,0.905127681
,threshold3,0.901856322
,threshold3,0.899912652
,threshold3,0.913489863
,threshold3,0.910224439
,threshold3,0.92310715
,threshold3,0.914361256
,threshold3,0.919703751
,threshold3,0.89209026
,threshold3,0.892677004
,threshold3,0.907124207
,threshold3,0.914781896
,threshold3,0.905276915
,threshold3,0.906855231
,threshold3,0.914375158
,threshold3,0.915860774
,threshold3,0.916119451
,threshold3,0.912537298
,threshold3,0.888939951
,threshold3,0.901403752
,threshold3,0.907177492
,threshold3,0.903763319
,threshold3,0.899522584
,threshold3,0.915159351
,threshold3,0.913448331
,threshold3,0.925278399
,threshold3,0.916578979
,threshold3,0.923030557
,threshold3,0.895823343
,threshold3,0.900019348
,threshold3,0.910024911
,threshold4,0.907127759
,threshold4,0.904086496
,threshold4,0.916585478
,threshold4,0.920447683
,threshold4,0.918213457
,threshold4,0.918056065
,threshold4,0.91643707
,threshold4,0.908681542
,threshold4,0.908426466
,threshold4,0.90535921
,threshold4,0.916991857
,threshold4,0.917735231
,threshold4,0.912522665
,threshold4,0.923913335
,threshold4,0.922533454
,threshold4,0.924666748
,threshold4,0.917517524
,threshold4,0.899546991
,threshold4,0.927889807
,threshold4,0.91185223
,threshold4,0.910457569
,threshold4,0.906693025
,threshold4,0.917245135
,threshold4,0.922859884
,threshold4,0.919997437
,threshold4,0.92127648
,threshold4,0.922784733
,threshold4,0.912065585
,threshold4,0.913400281
,threshold4,0.907088866
