model,type,test_AUC_ROC
xgb,threshold1,0.903431707
xgb,threshold1,0.90344189
xgb,threshold1,0.919593045
xgb,threshold1,0.91009586
xgb,threshold1,0.906753367
xgb,threshold1,0.916896938
xgb,threshold1,0.912283651
xgb,threshold1,0.898283828
xgb,threshold1,0.910678733
xgb,threshold1,0.90994228
xgb,threshold1,0.909313361
xgb,threshold1,0.904941298
xgb,threshold1,0.922082871
xgb,threshold1,0.905824649
xgb,threshold1,0.907347803
xgb,threshold1,0.913752801
xgb,threshold1,0.918138229
xgb,threshold1,0.899167583
xgb,threshold1,0.915082956
xgb,threshold1,0.916558442
xgb,threshold1,0.904835284
xgb,threshold1,0.906215795
xgb,threshold1,0.915057344
xgb,threshold1,0.911556867
xgb,threshold1,0.908804895
xgb,threshold1,0.917681105
xgb,threshold1,0.91317536
xgb,threshold1,0.904495783
xgb,threshold1,0.911546003
xgb,threshold1,0.914329004
,threshold2,0.90797546
,threshold2,0.90680512
,threshold2,0.907951466
,threshold2,0.915640825
,threshold2,0.909929184
,threshold2,0.907608991
,threshold2,0.920292069
,threshold2,0.905897747
,threshold2,0.910819745
,threshold2,0.914170923
,threshold2,0.911097599
,threshold2,0.913858412
,threshold2,0.916687197
,threshold2,0.914494902
,threshold2,0.913490312
,threshold2,0.909104817
,threshold2,0.922369547
,threshold2,0.908146714
,threshold2,0.917562204
,threshold2,0.920657133
,threshold2,0.912136035
,threshold2,0.909603063
,threshold2,0.910155074
,threshold2,0.915050709
,threshold2,0.907938743
,threshold2,0.909492371
,threshold2,0.921174657
,threshold2,0.909203048
,threshold2,0.912465596
,threshold2,0.917003745
,threshold3,0.921346367
,threshold3,0.909761025
,threshold3,0.917921837
,threshold3,0.920426207
,threshold3,0.922740835
,threshold3,0.915213714
,threshold3,0.921218963
,threshold3,0.904891304
,threshold3,0.914086894
,threshold3,0.91744818
,threshold3,0.92436689
,threshold3,0.916315495
,threshold3,0.920251123
,threshold3,0.909477643
,threshold3,0.924615702
,threshold3,0.916812073
,threshold3,0.924246057
,threshold3,0.904112052
,threshold3,0.9207754
,threshold3,0.923429424
,threshold3,0.917105632
,threshold3,0.915848747
,threshold3,0.921260813
,threshold3,0.921959806
,threshold3,0.92529838
,threshold3,0.91771115
,threshold3,0.924415894
,threshold3,0.90796169
,threshold3,0.915161058
,threshold3,0.916475729
,threshold4,0.920701056
,threshold4,0.924329411
,threshold4,0.92526251
,threshold4,0.933961378
,threshold4,0.93361841
,threshold4,0.921755466
,threshold4,0.923676107
,threshold4,0.922116295
,threshold4,0.932343969
,threshold4,0.920299625
,threshold4,0.926286872
,threshold4,0.913862673
,threshold4,0.914569294
,threshold4,0.927469571
,threshold4,0.932751713
,threshold4,0.919139728
,threshold4,0.922433586
,threshold4,0.916842461
,threshold4,0.934830877
,threshold4,0.914007491
,threshold4,0.919190277
,threshold4,0.930991294
,threshold4,0.92706219
,threshold4,0.933766791
,threshold4,0.933308153
,threshold4,0.926511353
,threshold4,0.923527545
,threshold4,0.92479378
,threshold4,0.933916424
,threshold4,0.920892067
