smiles,pKi
CCOCC(=O)NC1CCCOc2c1nn(c3ccccc3Cl)c2c4ccc(Cl)cc4,5.184
CSC(=S)N1CC2(CCCCC2)CO/C/1=N\c3onc(c3)C(C)(C)C,9.000
CCCCCCN1C(=O)\C(=N/NC(=O)OC(C)(C)C)\c2ccccc12,7.857
CCCCCN1N=C(CC1c2ccccc2)C(=O)NC3C4CC5CC(CC3C5)C4,8.149
CCN1C=C(C(=O)NC(C)C23CC4CC(CC(C4)C2)C3)C(=O)C=C1c5ccccc5,6.383
CSC(=S)N1CC2(CCCCC2)CO/C/1=N\c3cccc4nonc34,8.167
CC1(C)Oc2cc(cc(O)c2[C@@H]3C[C@H](O)CC[C@@H]13)C(=O)c4ccccc4,6.231
CCCSC(=O)C(C)(C)c1cc(O)c2[C@@H]3CC(=CC[C@H]3C(C)(C)Oc2c1)C,9.155
CN\C(=N/S(=O)(=O)N1CCC(CC1)C(F)(F)F)\N2C[C@@H](C(=N2)c3ccc(Cl)cc3)c4ccccc4,6.516
CC1(CC(F)(F)C1(F)F)C(=O)c2cn(CC3CCOCC3)c4ccccc24,7.329
CCCN(CCC)c1ccc(cc1)C(NC(=O)Cc2ccccc2)NC(=O)Cc3ccccc3,7.658
CCN1C=C(C(=O)N[C@H]2[C@]3(C)CCC(C3)C2(C)C)C(=O)c4ccc(Sc5ccccc5)cc14,8.357
Cc1ccc2c(cn(CC3CCOCC3)c2c1)C(=O)C4C(C)(C)C4(C)C,9.796
Brc1ccc(cc1)C(C(=O)NCCCc2ccccc2)c3ccccc3,5.745
Clc1ccc(c(Cl)c1)n2nc(C(=O)NC3CCCCC3)c4CCCc5cc(Cl)ccc5c24,7.747
CC12CC3CC(C)(C1)CC(C3)(C2)NC(=O)C4=CN5C(COc6cccc(C4=O)c56)c7ccccc7,8.462
Cc1ccc(cc1)C(=O)c2cc(O)c(c(O)c2)c3cc(Cl)cc(Cl)c3,6.589
Cl.CCC1COc2c(ccc3C(=O)C(=CN1c23)C(=O)NC45CC6CC(CC(C6)C4)C5)N7CCN(C)CC7,7.377
CN(C)c1ccc(CN(Cc2ccccc2)S(=O)(=O)c3ccc(C)cc3)cc1,6.167
CN(CCOc1ccc(cc1C(=O)\N=C\2/SC(=CN2C[C@H]3CCCO3)C(C)(C)C)C(F)(F)F)c4ccccc4,7.854
CCCCC(NC(=O)Cc1ccccc1)NC(=O)Cc2ccccc2,4.444
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)c5c(C)c(C)sc15,8.485
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)n5nc(cc15)c6ccc(C)cc6,8.467
CC1(C)C(C(=O)c2cn(CCCCCO)c3ccccc23)C1(C)C,9.149
OC(=O)c1ccc(CNC(=O)C2=CC3=C(CCCCCC3)N(CC4CCCCC4)C2=O)cc1,6.035
CCCNC(=O)c1c(NC(=O)C2C(C)(C)C2(C)C)sc3COCCc13,7.040
CCCCCN1C=C(C(=O)NC2C3CC4CC(CC2C4)C3)C(=O)C=C1C,9.585
OC(=O)Cc1cccc(NC(=O)C2=CC3=C(CCCCCC3)N(CC4CCCCC4)C2=O)c1,6.921
CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccc(O)cc3)c(O)nc12,9.319
Cc1c(nc(c2ccc(Cl)cc2Cl)n1c3ccc(Cl)cc3)C(=O)NC4CCCC4,6.447
CSC(=S)N1CC2(CCCCC2)CO/C/1=N\c3ccc(C#N)c4ccccc34,8.745
Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(I)cc3)C(=O)NN4CCOCC4,5.377
Cc1ccc(NC(=O)c2cccc(Cl)c2)cc1S(=O)(=O)N3CCOCC3,6.921
OC(=O)Cc1cnc(NC(=O)C2=CC3=C(CCCCCC3)N(CC4CCCCC4)C2=O)s1,8.337
CN(Cc1ccccc1)S(=O)(=O)c2cc(ccc2Br)C(=O)NCC(C)(C)C,6.367
CCCCCn1cc(C(=O)c2ccc(CCC)c3ccccc23)c4ccccc14,8.959
O=C(N\N=C\1/C(=O)N(Cc2ccccc2)c3ccccc13)c4ccccc4,7.733
CCCCCN1C=C(C(=O)NN2CCCCC2)C(=O)c3cc(Br)ccc13,6.398
OC1=C(C(=O)NC2CCCCC2)C(=O)N(CCN3CCOCC3)c4ncccc14,8.620
Cc1c(nn(c2ccc(F)cc2F)c1n3cccc3)C(=O)NCc4ccc(Cl)c(Cl)c4,6.409
CC(C)N1CCC[C@H]1COc2ccc(cc2C(=O)\N=C\3/SC(=CN3C[C@H]4CCCO4)C(C)(C)C)C(F)(F)F,6.991
CCCCN1\C(=N\C(=O)c2cc(ccc2OC[C@H](C)O)C(F)(F)F)\Sc3ncccc13,8.854
CCCCCn1c2ccccc2c3cc(ncc13)C(=O)N4CCCCC4,7.452
CCCCCOc1c(OC)ccc2C(=O)N(CCc3ccc(O)cc3)C=Cc12,8.432
CC(C)(NC(=O)C1=CC2=C(CCCCCC2)N(CC3CCCCC3)C1=O)C(=O)N4CCC(CC4)NS(=O)(=O)C,8.357
CCCCCCC(C)(C)c1cc(O)cc(OCCCCCCCCCCC(=O)OCC(O)CO)c1,6.509
CCCCCn1cc(C(=O)Cc2ccccc2)c3ccccc13,6.799
CCCCCN1C=C(C(=O)NC2CCCCC2)C(=O)n3nc(cc13)c4ccc(C)cc4,7.244
CSC(=S)N1CC2(CCCCC2)CO/C/1=N\c3ccc(N(C)C)c4ccccc34,8.180
Cc1ccc(Cn2nc(C(=O)NCC3CCC4CC3C4(C)C)c5CCCc6cc(Cl)ccc6c25)cc1,8.022
