,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2
0,xgb,1,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.6249357833451805,0.7240133652122809,0.5950312088671825,0.7155171511614727
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2
0,xgb,2,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.6578569686545572,0.6362482281323988,0.6843635885359077,0.6436727513308707
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2
0,xgb,4,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.6853696110375506,0.656526460768039,0.6825738469008104,0.625205300229052
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2
0,xgb,8,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.6412641261365716,0.689788516217985,0.7107245991234817,0.5964438931353259
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2
0,xgb,16,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.6476873308735703,0.681048478766195,0.6361173829523507,0.6884276017425699
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2
0,xgb,32,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.6398469628409894,0.6494938202231957,0.6294344337206976,0.6941268101059681
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2
0,xgb,64,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.6436752351905187,0.6908176813443796,0.6776399449347754,0.6606014750030433
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2
0,xgb,128,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.6286447228641727,0.669079566335606,0.6277630072800031,0.6871780658711754
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2
0,xgb,256,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.6629460913083866,0.6150163808279842,0.6417580155188297,0.663362851575204
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2
0,xgb,512,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.6721604274912006,0.6628685782593576,0.6620376718436061,0.6634288232386187
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,n_estimators
0,rf,1,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.659523107457925,0.6980709388384609,0.6768477851473675,0.6342194896327258,500.0
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,n_estimators
0,rf,2,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.7074738333315531,0.5799059152132169,0.6993926262737328,0.6309323564724634,500.0
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,n_estimators
0,rf,4,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.7400294060718046,0.5997522224286709,0.6673135798182189,0.6341422993052751,500.0
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,n_estimators
0,rf,8,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.6796612091055734,0.6517332181038384,0.7153100547564819,0.5827960244659167,500.0
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,n_estimators
0,rf,16,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.6915108723327217,0.6416204189749727,0.6629010782419754,0.6660168588609304,500.0
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,n_estimators
0,rf,32,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.6504703957816498,0.637218940563127,0.6664145157691035,0.6649200364347706,500.0
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,n_estimators
0,rf,64,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.6782205952654043,0.656058682473347,0.7029925659630705,0.6370886367006245,500.0
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,n_estimators
0,rf,128,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.6602239198572543,0.6369694603099383,0.6711725041101259,0.645317019508885,500.0
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,n_estimators
0,rf,256,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.6682166507677677,0.5994711580128729,0.692464656237454,0.6026553797240746,500.0
,model,seed,fp_types,valid_rmse,valid_r2,test_rmse,test_r2,n_estimators
0,rf,512,AvalonFP_RDkitFP_AtomPairFP_MorganFP,0.6974249274247563,0.6372787536784899,0.7018358292747076,0.6241361068772469,500.0
