smiles,threshold1,threshold2,threshold3,threshold4
Cc1cccc(-c2nnc(SCC(=O)NC3CCCCC3)n2Cc2ccccc2)c1,1,1,1,1
CCCCSc1nc2c(c(=O)n1CCc1ccccc1)C1(CCCC1)Cc1ccccc1-2,1,1,1,1
CCOc1ccc(N(CC(=O)N[C@@H](C)CC)S(=O)(=O)c2ccc(Br)cc2)cc1,1,1,1,1
CCCCCN(CCCCC)C(=O)c1ccccc1C(=O)Nc1ccc(Br)cc1,1,1,1,1
CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccncc3)c(=O)[nH]c12,1,1,1,1
CCCCCc1cc2cc(C(=O)OC)c(=O)[nH]c2c(O)c1OC,1,1,1,1
CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)[nH]c12,1,1,1,1
CCOc1c(OC)ccc2cc(C(=O)NCCc3ccncc3)c(=O)[nH]c12,1,1,1,1
CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)n(C)c12,1,1,1,1
CCCOc1c(OC)ccc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)[nH]c12,1,1,1,1
CCCCCOc1ccc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)[nH]c2c1OCCCCC,1,1,1,1
CCCCCCC(C)(C)c1ccc2c(c1)OC(C)(C)[C@@H]1CC=C(CO)C[C@@H]21,1,1,1,1
CCCCOc1c(OC)ccc2cc(C(=O)O)c(=O)[nH]c12,1,1,1,1
CC(C)(C)CCCCCc1ccc2c(c1)OC(C)(C)[C@@H]1CC=C(CO)C[C@@H]21,1,1,1,1
CCCCCc1cc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)[nH]c2c(O)c1OC,1,1,1,1
Cc1ccc2c(c1)Cc1c(C(=O)NN3CCCCC3)nn(-c3ccc(Cl)cc3Cl)c1-2,1,1,1,1
CCCCCc1cc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)n(C)c2c(O)c1OC,1,1,1,1
CCOc1c(OC)ccc2cc(C(=O)NCc3ccc4c(c3)OCO4)c(=O)[nH]c12,1,1,1,1
CCCCCOc1c(OC)ccc2cc(C(=O)NCCN3CCOCC3)c(=O)n(C)c12,1,1,1,1
