smiles,PActivity
CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccncc3)c(=O)[nH]c12,11
CCCCCc1cc2cc(C(=O)OC)c(=O)[nH]c2c(O)c1OC,10.85
CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)[nH]c12,10.72
CCOc1c(OC)ccc2cc(C(=O)NCCc3ccncc3)c(=O)[nH]c12,10.7
CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)n(C)c12,10.68
CCCOc1c(OC)ccc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)[nH]c12,10.68
CCCCCOc1ccc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)[nH]c2c1OCCCCC,10.59
CCCCCCC(C)(C)c1ccc2c(c1)OC(C)(C)[C@@H]1CC=C(CO)C[C@@H]21,10.49
CCCCOc1c(OC)ccc2cc(C(=O)O)c(=O)[nH]c12,10.49
CC(C)(C)CCCCCc1ccc2c(c1)OC(C)(C)[C@@H]1CC=C(CO)C[C@@H]21,10.49
CCCCCc1cc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)[nH]c2c(O)c1OC,10.44
Cc1ccc2c(c1)Cc1c(C(=O)NN3CCCCC3)nn(-c3ccc(Cl)cc3Cl)c1-2,10.43
CCCCCc1cc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)n(C)c2c(O)c1OC,10.37
CCOc1c(OC)ccc2cc(C(=O)NCc3ccc4c(c3)OCO4)c(=O)[nH]c12,10.28
CCCCCOc1c(OC)ccc2cc(C(=O)NCCN3CCOCC3)c(=O)n(C)c12,10.07
CC1(C)C(C(=O)c2cn(CCCC(F)(F)F)c3ccccc23)C1(C)C,10.07
CCCCCOc1c(OC)ccc2cc(C(=O)NCc3ccc4c(c3)OCO4)c(=O)oc12,10.06
CCCCCNc1c(OC)ccc2c1CN(CCc1ccc(O)cc1)C2=O,10.06
CCCOc1c(OC)ccc2cc(C(=O)NCCc3ccccc3)c(=O)[nH]c12,10.05
CCCCCn1cc(C(=O)N[C@@H]2C(C)(C)C3CC[C@]2(C)C3)c(=O)c2ccc(Sc3ccccc3)cc21,10.05
CCCCn1cc(C(=O)N[C@@H]2C(C)(C)C3CC[C@]2(C)C3)c(=O)c2ccc(Sc3ccccc3)cc21,10
CCCCn1c2c(cc(C(=O)NC(C)(C)c3ccccc3)c1=O)CCCCCC2,10
CCCCCOc1ccc2c(c1OCCCCC)CN(CCc1ccc(N)cc1)C2=O,9.96
C[C@H]1CC[C@@H](NC(=O)c2cc3cc(Br)cnc3n(Cc3ccc(F)cc3)c2=O)CC1,9.92
COc1cccc2c(C(=O)C3C(C)(C)C3(C)C)cn(CC3CCOCC3)c12,9.92
CC1(C)C(C(=O)c2cn(CC3CCOC3)c3ccccc23)C1(C)C,9.85
Cc1ccc2c(C(=O)C3C(C)(C)C3(C)C)cn(CC3CCOCC3)c2c1,9.83
O=C(NC12CC3CC(CC(C3)C1)C2)c1nn(CCN2CCOCC2)c2ccccc12,9.82
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(CO)C[C@@H]21,9.82
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@H]1CC=C(CO)C[C@H]21,9.82
CC1CCC(NC(=O)c2cc3cc(-c4cccs4)cnc3n(CCN3CCOCC3)c2=O)CC1,9.77
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(CO)CC21,9.77
CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccccc3F)c(=O)[nH]c12,9.74
CC1CCC(NC(=O)c2cc3cc(Br)cnc3n(Cc3ccc(F)cc3)c2=O)CC1,9.74
CCCCCn1c(=O)c(C(=O)NC23CC4CC(CC(C4)C2)C3)c(O)c2nn(C)cc21,9.74
CC1(C)C(C(=O)c2cn(CCN3CCOC3=O)c3ccccc23)C1(C)C,9.74
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=CC21,9.7
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)c1ccc(CO)cc1-2,9.7
O=S(=O)(c1cc2ccccc2n1S(=O)(=O)c1ccccc1F)N1CCC(O)(CNS(=O)(=O)C(F)(F)F)CC1,9.7
CCCCCn1c(=O)c(C(=O)NC23CC4CC(CC(C4)C2)C3)cc2ccccc21,9.7
CSC(=S)N1CC2(CCCCC2)CS/C1=N\c1cccc2c1CCCC2,9.7
CCCCn1c2c(cc(C(=O)NC3CCCCC3)c1=O)CCCCCC2,9.7
CCCCOC(=O)C(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC[C@@H](O)C[C@@H]21,9.7
CCC1(CNS(=O)(=O)C(F)(F)F)CCN(S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c2ccccc2F)CC1,9.7
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,9.7
CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccccc23)C1(C)C,9.67
CCCCCCC1(c2cc(O)c3c(c2)OC(C)(C)[C@@H]2CC=C(C)C[C@@H]32)OCCO1,9.66
CCCCCOc1c(OC)ccc2cc(C(=O)NCc3ccc4c(c3)OCO4)c(=O)n(C)c12,9.66
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)C3CCCCCC3)cc1OC2(C)C,9.66
O=C(NC1CCCCCC1)c1cc2ccccc2n(Cc2ccc(F)cc2)c1=O,9.6
CCCCCn1cc(C(=O)NC2C3CC4CC(C3)CC2C4)c(=O)cc1C,9.59
COc1cc(C(O)c2cccs2)cc(OC)c1-c1cc(Cl)cc(Cl)c1,9.57
C[C@H]1CC[C@@H](NC(=O)c2cc3cc(-c4ccco4)cnc3n(Cc3ccc(F)cc3)c2=O)CC1,9.57
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)c3cccs3)cc1OC2(C)C,9.57
Cc1cc(=O)c(C(=O)NC23CC4CC(CC(C4)C2)C3)cn1CCCC(F)(F)F,9.55
CCCCCCC1(c2cc(O)c3c(c2)OC(C)(C)[C@@H]2CC=C(C)C[C@@H]32)CC1(Cl)Cl,9.54
COC(=O)C(C)(C)NC(=O)c1cc2c(n(CC3CCCCC3)c1=O)CCCCCC2,9.52
