Title,act4,docking_score
1,1,-9.318
2,1,-8.594
3,1,-10.413
4,1,-11.197
5,1,-9.584
6,1,-9.673
7,1,-8.948
8,1,-10.279
9,1,-9.405
10,1,-9.468
11,1,-8.403
12,1,-10.165
13,1,-7.201
14,1,-9.793
15,1,-8.581
16,1,-9.611
17,1,-9.204
18,1,-8.655
19,1,-9.974
20,1,-8.256
21,1,-8.985
22,1,-8.858
23,1,-9.52
24,1,-10.456
25,1,-9.775
26,1,-9.86
27,1,-10.215
28,1,-10.708
29,1,-9.358
30,1,-9.215
31,1,-10.265
32,1,-7.849
33,1,-10.591
34,1,-10.273
35,1,-9.743
36,1,-9.048
37,1,-9.196
38,1,-8.891
39,1,-10.589
40,1,-9.39
41,1,-10.087
42,1,-8.924
43,1,-8.97
44,1,-8.787
45,1,-9.33
46,1,-10.048
47,1,-8.021
48,1,-9.11
49,1,-8.338
50,1,-9.412
51,1,-9.863
52,1,-9.685
53,1,-7.579
54,1,-9.736
55,1,-8.714
56,1,-9.643
57,1,-9.27
58,1,-11.486
59,1,-9.217
60,1,-9.56
61,1,-8.764
62,1,-9.838
63,1,-9.384
64,1,-9.591
65,1,-10.526
66,1,-9.269
67,1,-10.986
68,1,-9.053
69,1,-9.8
70,1,-8.749
71,1,-10.092
72,1,-8.261
73,1,-9.427
74,1,-9.178
75,1,-9.049
76,1,-10.049
77,1,-9.294
78,1,-9.362
79,1,-11.229
80,1,-10.4
81,1,-10.545
82,1,-8.513
83,1,-9.583
84,1,-10.471
85,1,-9.216
87,1,-10.581
88,1,-11.141
89,1,-9.631
90,1,-9.443
91,1,-9.385
92,1,-8.887
93,1,-9.683
94,1,-9.862
95,1,-9.013
96,1,-10.586
97,1,-9.317
98,1,-9.476
99,1,-10.107
100,1,-9.39
101,1,-10.54
102,1,-9.465
103,1,-9.506
104,1,-10.002
105,1,-8.217
106,1,-8.896
107,1,-9.172
108,1,-10.509
109,1,-9.082
110,1,-10.21
111,1,-9.92
112,1,-7.322
113,1,-10.736
114,1,-9.719
115,1,-9.6
116,1,-9.1
117,1,-9.962
118,1,-9.038
119,1,-8.295
120,1,-7.832
121,1,-10.748
122,1,-9.003
123,1,-8.135
124,1,-7.452
125,1,-9.747
126,1,-8.926
127,1,-9.335
128,1,-8.896
129,1,-9.062
130,1,-8.766
131,1,-8.135
132,1,-9.178
134,1,-9.007
135,1,-7.829
136,1,-9.186
137,1,-8.497
138,1,-6.883
139,1,-8.504
140,1,-8.08
141,1,-8.547
142,1,-7.961
143,1,-8.891
144,1,-8.426
145,1,-8.75
146,1,-8.692
147,1,-9.382
148,1,-8.114
149,1,-10.266
150,1,-9.074
151,1,-10.238
152,1,-7.008
153,1,-9.909
154,1,-8.666
155,1,-9.962
156,1,-9.047
157,1,-9.459
158,1,-8.53
159,1,-7.652
160,1,-9.033
161,1,-8.39
162,1,-9.341
163,1,-8.232
164,1,-10.82
165,1,-8.654
166,1,-9.569
167,1,-9.867
168,1,-9.626
169,1,-9.607
170,1,-9.418
171,1,-10.781
172,1,-9.927
173,1,-9.043
174,1,-7.901
175,1,-8.665
176,1,-10.584
177,1,-8.419
178,1,-10.655
179,1,-9.129
180,1,-8.747
181,1,-9.774
182,1,-9.733
183,1,-8.233
184,1,-7.746
185,1,-8.352
186,1,-9.651
187,1,-8.787
188,1,-11.128
189,1,-10.539
190,1,-9.72
191,1,-9.11
192,1,-9.258
193,1,-9.797
194,1,-8.94
195,1,-10.511
196,1,-9.238
197,1,-10.409
198,1,-7.701
199,1,-10.401
200,1,-8.474
201,1,-7.848
202,1,-9.624
203,1,-9.411
204,1,-9.442
205,1,-8.651
206,1,-10.286
207,1,-10.314
208,1,-8.023
209,1,-9.642
210,1,-8.7
211,1,-7.998
212,1,-7.98
213,1,-11.86
214,1,-8.549
215,1,-10.144
216,1,-10.455
217,1,-8.671
218,1,-8.574
219,1,-9.089
220,1,-9.374
221,1,-9.147
222,1,-9.377
223,1,-8.475
224,1,-11.993
225,1,-8.89
226,1,-10.713
227,1,-8.944
228,1,-8.303
229,1,-10.093
230,1,-8.95
231,1,-9.115
232,1,-9.904
233,1,-9.448
234,1,-8.436
235,1,-9.652
236,1,-10.07
237,1,-9.58
238,1,-8.967
239,1,-8.081
240,1,-9.6
241,1,-8.905
242,1,-10.452
243,1,-9.295
244,1,-9.798
245,1,-10.11
246,1,-8.846
247,1,-9.845
248,1,-8.937
249,1,-13.133
250,1,-7.925
251,1,-6.923
252,1,-10.891
253,1,-10.151
254,1,-9.005
255,1,-8.344
256,1,-10.25
257,1,-7.742
258,1,-8.262
259,1,-10.219
260,1,-8.298
261,1,-10.039
262,1,-9.547
263,1,-10.55
264,1,-9.313
265,1,-8.043
266,1,-9.327
267,1,-8.797
268,1,-8.265
269,1,-8.1
271,0,-9.529
