docking_score,act4
10.141,1
8.875,1
11.093,1
10.577,1
9.462,1
9.464,1
9.021,1
10.359,1
9.922,1
10.866,1
8.895,1
10.373,1
8.129,1
9.146,1
10.446,1
9.836,1
10.212,1
10.092,1
7.157,1
9.219,1
10.486,1
10.201,1
8.388,1
10.514,1
10.1,1
10.785,1
8.31,1
10.749,1
7.406,1
9.297,1
9.841,1
10.161,1
8.092,1
9.643,1
9.505,1
9.795,1
8.955,1
10.29,1
10.87,1
9.711,1
10.963,1
9.57,1
7.729,1
10.266,1
9.57,1
10.757,1
9.46,1
9.856,1
9.123,1
9.705,1
11.326,1
10.07,1
7.645,1
10.403,1
8.841,1
10.007,1
9.732,1
10.937,1
9.962,1
10.623,1
10.512,1
10.445,1
9.098,1
9.834,1
8.698,1
9.144,1
10.119,1
10.023,1
10.487,1
10.231,1
8.814,1
9.04,1
9.343,1
9.593,1
9.507,1
9.912,1
9.411,1
9.808,1
8.179,1
8.987,1
9.827,1
9.136,1
9.412,1
10.516,1
8.089,1
8.325,1
9.767,1
9.776,1
8.276,1
8.873,1
9.449,1
9.89,1
10.313,1
10.152,1
10.505,1
9.129,1
10.383,1
9.921,1
9.638,1
8.959,1
9.921,1
7.825,1
10.766,1
8.894,1
9.937,1
8.975,1
8.833,1
9.449,1
9.483,1
10.267,1
7.968,1
10.005,1
8.589,1
7.778,1
9.079,1
8.611,1
9.691,1
8.462,1
8.496,1
9.48,1
8.363,1
9.551,1
7.87,1
9.787,1
9.208,1
10.58,1
6.929,1
9.568,1
10.387,1
9.119,1
10.423,1
9.334,1
8.686,1
9.465,1
9.186,1
7.021,1
7.914,1
8.166,1
9.018,1
10.707,1
9.441,1
8.403,1
8.498,1
8.197,1
10.483,1
9.337,1
9.951,1
9.135,1
9.134,1
6.75,1
9.254,1
8.482,1
9.031,1
10.269,1
9.241,1
9.113,1
8.11,1
10.265,1
8.548,1
10.535,1
7.96,1
10.019,1
8.908,1
9.882,1
10.056,1
9.783,1
9.604,1
10.037,1
9.519,1
9.712,1
9.645,1
9,1
9.6,1
10.062,1
8.13,1
12.177,1
9.945,1
9.063,1
9.285,1
9.273,1
8.585,1
7.462,1
8.591,1
10.067,1
8.888,1
9.625,1
9.384,1
10.576,1
9.393,1
9.687,1
9.525,1
8.861,1
9.866,1
9.215,1
10.498,1
8.531,1
9.364,1
8.958,1
5.708,1
9.534,1
7.681,1
9.849,1
9.93,1
10.799,1
10.688,1
8.275,1
10.448,1
8.103,1
8.772,1
8.346,1
8.666,1
9.566,1
9.243,1
9.058,1
8.658,1
8.318,1
9.089,1
9.192,1
10.69,1
9.538,1
8.218,1
10.602,1
8.568,1
11.095,1
9.575,1
5.029,1
10.414,1
8.916,1
9.499,1
9.803,1
8.461,1
10.851,1
9.921,1
9.087,1
9.827,1
8.734,1
9.334,1
9.623,1
9.334,1
10.298,1
9.649,1
8.664,1
11.41,1
9.68,1
8.653,1
8.393,1
10.485,1
9.559,1
8.624,1
10.782,1
8.116,1
8.947,1
10.397,1
8.75,1
10.203,1
10.052,1
9.562,1
8.596,1
9.561,1
4.878,1
9.08,1
6.697,1
9.053,0
8.525,0
10.192,0
9.215,0
8.053,0
9.134,0
8.704,0
9.516,0
7.506,0
9.459,0
8.626,0
9.676,0
9.556,0
8.974,0
7.454,0
7.469,0
8.358,0
8.774,0
10.053,0
8.285,0
9.627,0
8.98,0
9.966,0
8.517,0
7.97,0
9.119,0
8.174,0
8.947,0
9.511,0
7.404,0
8.64,0
8.426,0
9.147,0
8.838,0
10.002,0
8.826,0
7.155,0
9.677,0
9.499,0
10.681,0
8.446,0
9.3,0
7.704,0
8.432,0
7.428,0
9.177,0
7.917,0
9.651,0
10.227,0
7.995,0
8.278,0
5.505,0
10.282,0
10.193,0
9.593,0
9.442,0
9.503,0
8.751,0
10.05,0
9.949,0
10.45,0
9.305,0
9.386,0
8.927,0
8.302,0
10.051,0
9.308,0
9.594,0
10.142,0
8.221,0
7.993,0
7.869,0
8.99,0
7.78,0
9.748,0
8.352,0
10.196,0
8.337,0
8.827,0
8.55,0
10.973,0
9.079,0
8.35,0
8.82,0
9.56,0
10.172,0
9.66,0
7.916,0
7.62,0
10.122,0
11.607,0
8.977,0
9.472,0
8.393,0
9.502,0
8.518,0
10.208,0
9.815,0
9.474,0
9.672,0
7.86,0
9.506,0
8.674,0
9.522,0
10.328,0
10.197,0
10.025,0
7.17,0
8.5,0
8.902,0
7.686,0
9.712,0
10.479,0
7.794,0
9.006,0
9.274,0
10.438,0
5.62,0
9.414,0
10.111,0
9.332,0
10.863,0
10.136,0
9.26,0
10.23,0
10.134,0
10.322,0
8.977,0
10.392,0
9.628,0
10.261,0
8.002,0
9.648,0
8.625,0
9.908,0
9.909,0
9.995,0
10.682,0
10.306,0
10.739,0
9.901,0
10.534,0
9.341,0
9.761,0
9.495,0
10.128,0
9.75,0
9.898,0
10.38,0
10.593,0
10.034,0
9.667,0
9.715,0
10.969,0
10.682,0
11.358,0
9.861,0
10.295,0
10.43,0
7.718,0
10.353,0
8.982,0
8.249,0
8.45,0
7.248,0
7.056,0
3.128,0
9.509,0
7.92,0
8.219,0
10.556,0
10.805,0
10.778,0
9.696,0
8.825,0
9.46,0
8.496,0
10.337,0
9.54,0
9.527,0
10.137,0
9.573,0
10.031,0
9.3,0
8.807,0
6.794,0
10.175,0
8.819,0
6.841,0
8.848,0
9.775,0
8.243,0
8.198,0
8.343,0
6.537,0
7.144,0
8.672,0
8.08,0
10.068,0
7.44,0
9.191,0
7.372,0
9.091,0
10.366,0
8.823,0
7.982,0
9.145,0
9.032,0
9.05,0
10.7,0
8.8,0
9.749,0
8.729,0
7.607,0
7.363,0
10.124,0
9.312,0
7.162,0
8.608,0
8.667,0
9.226,0
9.442,0
9.51,0
9.361,0
9.202,0
7.881,0
7.729,0
9.239,0
8.775,0
9.409,0
9.468,0
8.788,0
8.788,1
9.262,1
8.985,1
8.552,1
9.697,1
9.682,1
8.771,1
8.87,1
10.67,1
8.792,1
9.311,1
10.056,1
8.164,1
10.732,1
9.399,1
9.18,1
8.983,1
9.647,1
9.587,1
9.968,1
7.062,1
7.989,1
9.959,1
9.465,1
9.042,1
11.979,1
9.265,1
8.776,1
10.192,1
9.568,1
8.008,1
7.348,0
9.396,0
9.12,0
10.192,0
9.197,0
8.839,0
4.96,0
8.972,0
9.946,0
9.639,0
10.137,0
9.26,0
10.028,0
8.75,0
9.412,0
8.054,0
6.227,0
9.17,0
9.908,0
5.93,0
8.928,0
10.73,0
10.393,0
9.781,0
6.294,0
10.321,0
8.956,0
8.842,0
8.816,0
9.397,0
7.834,0
9.579,0
10.701,0
8.683,0
10.451,0
8.074,0
9.864,0
9.924,0
10.107,0
8.361,0
9.287,0
10.459,0
9.814,0
8.704,0
9.841,0
9.34,0
8.965,0
9.408,0
9.546,0
5.518,0
9.992,0
9.795,0
10.056,0
7.525,0
8.719,0
10.719,0
7.421,0
10.294,0
10.811,0
9.289,0
10.327,0
10.24,0
9.555,0
9.739,0
7.645,0
10.187,0
10.231,0
7.696,0
8.836,0
10.516,0
9.852,0
9.868,0
10.698,0
8.287,0
9.409,0
8.965,0
9.227,1
10.261,1
8.269,1
8.584,1
10.116,1
8.05,1
8.034,1
10.543,1
10.584,1
6.64,1
8.65,1
9.465,1
8.631,1
9.33,1
9.359,1
8.683,1
9.462,1
10.466,1
7.981,1
9.183,1
8.969,1
9.912,1
8.579,1
9.429,1
9.006,1
9.478,1
9.243,1
8.034,1
9.867,1
10.165,1
7.392,1
9.101,1
9.312,1
8.707,1
9.147,1
8.383,1
