--------------------------------------------------------------------------------
JobId          : qinlab-0-636903f5
Name           : ligprep_1
Program        : LigPrep
MMshareExec    : /opt/schrodinger2017-4/./mmshare-v4.0/bin/Linux-x86_64
Host           : qinlab
Dir            : /home/admin/@Z_H/dock_11.7/5zty/ligprep_1
HostEntry      : localhost
JobHost        : qinlab
JobDir         : /scratch/qinlab/ligprep_1
JobMMshareExec : /opt/schrodinger2017-4/mmshare-v4.0/bin/Linux-x86_64
Commandline    : /opt/schrodinger2017-4/./ligprep -inp ligprep_1.inp -HOST localhost:36 -NJOBS 1 -PROJ /home/qinlab/.schrodinger/tmp/tproj47400a545988 -DISP append -VIEWNAME ligprep_gui.LigPrepPanel -TMPLAUNCHDIR -ATTACHED
StartTime      : 2022-11-07-21:11:18
--------------------------------------------------------------------------------
LigPrep: preparing subjobs

Running subjobs on hosts:
  localhost (Max: 36)
Number of jobs:       1
Max retries per job:  2
Max allowed failures: unlimited
Run with -LOCAL:      False
Verbosity:            normal

Starting JobDJ...

Keep one job on driver host: False
JobDJ columns:
  C: Number of completed subjobs
  A: Number of active subjobs (e.g., submitted, running)
  W: Number of waiting/pending subjobs

C A W | Activity  JobId  JobName  JobHost
- - - | --------- -----------------------
0 1 0 | launched  qinlab-0-636903f7 ligprep_1-1 localhost [qinlab]
1 0 0 | finished  qinlab-0-636903f7 ligprep_1-1 localhost [qinlab]

All jobs have completed.

1 of 1 job(s) succeeded; 0 job(s) failed.

--------------------------------------------------------------------------------
SUBJOB:  ligprep_1-1 

--------------------------------------------------------------------------------
 JobId          : qinlab-0-636903f7
 Name           : ligprep_1-1
 Program        : LigPrep
 MMshareExec    : /opt/schrodinger2017-4/mmshare-v4.0/bin/Linux-x86_64
 Host           : qinlab
 Dir            : /scratch/qinlab/ligprep_1
 HostEntry      : localhost
 JobHost        : qinlab
 JobDir         : /scratch/qinlab/ligprep_1-1
 JobMMshareExec : /opt/schrodinger2017-4/mmshare-v4.0/bin/Linux-x86_64
 Commandline    : /opt/schrodinger2017-4/ligprep -bff 16 -epik -s 32 -orig_file ligprep_1.sdf -orig_file_index 1 -isd in_ligprep_1-1.sdf -omae ligprep_1-1.maegz -HOST localhost
 StartTime      : 2022-11-07-21:11:19
 --------------------------------------------------------------------------------
 LigPrep (version 44011). Copyright Schrodinger, LLC. All rights reserved.
 
 LigPrep command:
 $SCHRODINGER/ligprep -bff 16 -epik -s 32 -orig_file ligprep_1.sdf -orig_file_index 1 -isd in_ligprep_1-1.sdf -omae ligprep_1-1.maegz
 
 Processing steps:
 $DO/sdconvert_in.pyc -bad -orig_file_index 0 -orig_file ligprep_1.sdf in_ligprep_1-1.sdf
 $DO/sdstereoexpander.pyc -max_output 32 -max_generated 1024 <infile.mae> <outfile.mae>
 $DO/htreat.pyc -t All-None -a all -s -l 200 <infile.mae> <outfile.mae>
 $DO/desalter.pyc <infile.mae> <outfile.mae>
 $DO/neutralizer.pyc -m 200 <infile.mae> <outfile.mae>
 $DO/epik.pyc -ph 7.0 -tn 8 -ma 200 -imae <infile.mae> -omae <outfile.mae>
 $DO/guard.pyc <infile.mae> <outfile.mae>
 $DO/stereoizer.pyc -label_specified_chiralities -n 32 <infile.mae> <outfile.mae>
 $DO/cgx.pyc -optimize -ffld 16 -epsilon 10.0 <infile.mae> <outfile.mae>
 
 DO=$SCHRODINGER/run -FROM macromodel ../../lib/Linux-x86_64/python_packages/ligprep3/
 
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
 WARNING: entry #1: empty title, assigning generic 'ligprep_1.sdf:1'.
        1   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:1'
        2   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:2'
        3   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:3'
        4   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:4'
        5   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:5'
        6   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:6'
        7   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:7'
        8   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:8'
        9   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:9'
       10   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:10'
       11   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:11'
       12   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:12'
       13   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:13'
       14   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:14'
       15   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:15'
       16   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:16'
       17   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:17'
       18   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:18'
       19   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:19'
       20   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:20'
       21   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:21'
       22   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:22'
       23   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:23'
       24   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:24'
       25   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:25'
       26   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:26'
       27   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:27'
       28   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:28'
       29   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:29'
       30   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:30'
       31   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:31'
       32   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:32'
       33   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:33'
       34   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:34'
       35   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:35'
       36   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:36'
       37   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:37'
       38   4/0     4/0     4/0     4/0     8/0     8/0    12/0    12/0   'ligprep_1.sdf:38'
       39   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:39'
       40   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:40'
       41   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:41'
       42   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:42'
       43   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:43'
       44   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:44'
       45   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:45'
       46   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:46'
       47   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:47'
       48   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:48'
       49   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:49'
       50   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:50'
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
       51   8/0     8/0     8/0     8/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:51'
       52   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:52'
       53   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:53'
       54   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:54'
       55   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:55'
       56   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:56'
       57   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:57'
       58   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:58'
       59   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:59'
       60   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:60'
       61   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:61'
       62   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:62'
       63   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:63'
       64   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:64'
       65   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:65'
       66   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:66'
       67   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:67'
       68   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:68'
       69   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:69'
       70   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:70'
       71   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:71'
       72   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:72'
       73   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:73'
       74   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:74'
